model,subgroup_variable,subgroup,n,outcome_rate,auc,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,precision,f1,brier_score,calibration_slope,calibration_intercept,calibration_error,warning
xgboost,education,Less than 9th grade,115,0.28695652173913044,0.7686622320768662,0.6869565217391305,0.15151515151515152,0.9024390243902439,0.0975609756097561,0.8484848484848485,0.38461538461538464,0.21739130434782608,0.17612724006175995,0.9737537347642049,0.08077509309729927,0.10702135833309437,
xgboost,education,Some college/AA,441,0.14512471655328799,0.8280421087533156,0.8616780045351474,0.234375,0.9681697612732095,0.03183023872679045,0.765625,0.5555555555555556,0.32967032967032966,0.10211281478404999,0.9905318702750258,-0.09224117698635471,0.10170930671132895,
xgboost,poverty_group,101-200% FPL,333,0.16516516516516516,0.8130150425114454,0.8348348348348348,0.2727272727272727,0.9460431654676259,0.0539568345323741,0.7272727272727273,0.5,0.3529411764705882,0.117924764752388,0.9013088567263167,-0.2823784464052198,0.38106958967890314,
xgboost,poverty_group,201-400% FPL,329,0.14285714285714285,0.8856194356420704,0.8693009118541033,0.2127659574468085,0.9787234042553191,0.02127659574468085,0.7872340425531915,0.625,0.31746031746031744,0.08723489940166473,1.2976012450808236,0.4368572239748608,0.7344584690556845,
xgboost,poverty_group,<=100% FPL,268,0.17164179104477612,0.8403838621229925,0.8507462686567164,0.21739130434782608,0.9819819819819819,0.018018018018018018,0.782608695652174,0.7142857142857143,0.3333333333333333,0.10756710171699524,1.0292018170539423,0.226367577297414,0.2555693943513563,
xgboost,poverty_group,>400% FPL,328,0.11890243902439024,0.8493478839499601,0.8932926829268293,0.15384615384615385,0.9930795847750865,0.006920415224913495,0.8461538461538461,0.75,0.25531914893617025,0.08014954626560211,1.249302547543292,0.08126787566921603,0.33057042321250796,
xgboost,race_ethnicity,Mexican American,193,0.15025906735751296,0.8666947014297729,0.844559585492228,0.20689655172413793,0.9573170731707317,0.042682926829268296,0.7931034482758621,0.46153846153846156,0.28571428571428575,0.09599904716014862,1.1528109343583555,0.05888430838056179,0.21169524273891727,
xgboost,race_ethnicity,Non-Hispanic Asian,207,0.14492753623188406,0.8372881355932205,0.8647342995169082,0.2,0.9774011299435028,0.022598870056497175,0.8,0.6,0.3,0.09602024406194687,0.9861874604462131,0.15250187836764623,0.16631441792143314,
xgboost,race_ethnicity,Non-Hispanic Black,345,0.16231884057971013,0.8077731092436975,0.8376811594202899,0.14285714285714285,0.972318339100346,0.02768166089965398,0.8571428571428571,0.5,0.22222222222222224,0.11460678279399872,0.9614318582594824,0.013256028884262472,0.051824170624780064,
xgboost,race_ethnicity,Non-Hispanic White,518,0.14864864864864866,0.8550372529964366,0.8706563706563707,0.2727272727272727,0.9750566893424036,0.024943310657596373,0.7272727272727273,0.65625,0.38532110091743116,0.09659308940172195,1.2182666882159157,0.026419271960422885,0.24468596017633854,
xgboost,race_ethnicity,Other Hispanic,132,0.15151515151515152,0.8441964285714285,0.8333333333333334,0.05,0.9732142857142857,0.026785714285714284,0.95,0.25,0.08333333333333334,0.10752838850021362,0.9500610417242535,0.182123194201564,0.23206215247731046,
xgboost,race_ethnicity,Other/Multi-racial,68,0.10294117647058823,0.9016393442622951,0.8970588235294118,0.2857142857142857,0.9672131147540983,0.03278688524590164,0.7142857142857143,0.5,0.36363636363636365,0.07289604097604752,0.9983593858127064,-0.5503252771938074,0.551965891381101,
